X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8382584.74849472,4861564.39976872,16999,Bus,123,Eastbound,18816,West Chester Pk & Gilmore Rd - FS,39.969867,-75.30204,Spring 2025,1,4,3,4,3,0
-8394064.68230226,4843891.77076259,17000,Bus,117,Southbound,30593,Commerce Dr & McDonald Blvd - MBNS,39.848091,-75.405166,Spring 2025,10,10,12,11,0,2
-8382164.29477799,4861452.55543876,17001,Bus,123,Eastbound,18817,West Chester Pk & Darby Rd - MBNS,39.969097,-75.298263,Spring 2025,3,1,15,4,12,1
-8393652.80018633,4844182.05540908,17002,Bus,117,Southbound,31011,Concord Rd & Incinerator Rd - MBFS,39.850093,-75.401466,Spring 2025,1,1,2,2,0,0
-8381733.7109876,4861343.32686759,17003,Bus,123,Eastbound,18818,West Chester Pk & Township Line - FS,39.968345,-75.294395,Spring 2025,8,2,6,2,8,2
-8390298.07601178,4845271.20579398,17004,Bus,117,Southbound,31154,Upland Av & 22nd St - FS,39.857604,-75.37133,Spring 2025,3,6,6,3,6,3
-8381350.66061978,4861250.22207936,17005,Bus,123,Eastbound,18819,West Chester Pk & Brighton Av - FS,39.967704,-75.290954,Spring 2025,7,2,11,2,5,1
-8396166.72824691,4853490.58767469,17006,Bus,117,Southbound,31682,Middletown Rd & Baltimore Pk - FS,39.91426,-75.424049,Spring 2025,5,0,1,0,2,1
-8381116.22177217,4861192.12280989,17007,Bus,123,Eastbound,18820,West Chester Pk & Linden Av - FS,39.967304,-75.288848,Spring 2025,3,2,12,7,8,5
-8391472.60795915,4845740.3413742,17008,Bus,117,Southbound,31709,Main St & 11th St - FS,39.860839,-75.381881,Spring 2025,6,1,1,0,2,2
-8380683.96818942,4861086.23776563,17009,Bus,123,Eastbound,18821,West Chester Pk & Cloverdale Av,39.966575,-75.284965,Spring 2025,2,0,7,1,2,0
-8391481.95879637,4846057.36483233,17010,Bus,117,Southbound,31710,Upland Rd & Victor Av - FS,39.863025,-75.381965,Spring 2025,2,0,1,1,2,0
-8380428.37863856,4861023.63685083,17011,Bus,123,Eastbound,18822,West Chester Pk & S Lynn Blvd,39.966144,-75.282669,Spring 2025,10,2,5,0,2,3
-8391492.20018953,4846452.42558202,17012,Bus,117,Southbound,31711,Upland Rd & Arlington Av,39.865749,-75.382057,Spring 2025,0,2,0,0,1,0
-8380176.12867242,4860959.87437581,17013,Bus,123,Eastbound,18823,West Chester Pk & Park Av,39.965705,-75.280403,Spring 2025,14,10,11,6,18,4
-8391504.89061147,4846886.66243045,17014,Bus,117,Southbound,31712,Upland Rd & Edgmont Av,39.868743,-75.382171,Spring 2025,33,10,25,8,8,4
-8379965.51219584,4860908.4580085,17015,Bus,123,Eastbound,18824,West Chester Pk & Cedar Ln - FS,39.965351,-75.278511,Spring 2025,2,2,7,3,7,2
-8390561.34660751,4843814.34362068,17016,Bus,117,Southbound,31882,9th & Lincoln St,39.847557,-75.373695,Spring 2025,2,8,0,9,0,3
-8379720.83195508,4860851.377438,17017,Bus,123,Eastbound,18825,West Chester Pk & Carol Blvd - FS,39.964958,-75.276313,Spring 2025,5,2,11,5,1,5
-8390178.29623969,4843996.31285918,17018,Bus,117,Southbound,31883,9th & Parker St,39.848812,-75.370254,Spring 2025,1,9,1,7,2,5
-8379516.226731,4860804.75462005,17019,Bus,123,Eastbound,18826,West Chester Pk & Pennock Av,39.964637,-75.274475,Spring 2025,13,4,10,3,7,1
-8390970.66837516,4843582.50078048,17020,Bus,117,Southbound,31886,9th St & Pennell St,39.845958,-75.377372,Spring 2025,2,10,1,10,0,8
-8379253.73537171,4860741.57451514,17021,Bus,123,Eastbound,18827,West Chester Pk & Kenmore Rd,39.964202,-75.272117,Spring 2025,2,3,0,5,1,2
-8394530.9996492,4843830.87295996,17022,Bus,117,Southbound,31889,Commerce Dr & McDonald Blvd - 1 MBFS,39.847671,-75.409355,Spring 2025,0,1,0,0,0,0
-8378970.09330917,4860675.19952757,17023,Bus,123,Eastbound,18828,West Chester Pk & State Rd - FS at Berbro Av,39.963745,-75.269569,Spring 2025,4,17,13,20,5,14
-8393389.5295906,4843248.44779677,17024,Bus,117,Southbound,31890,Bethel Rd & Honan St - FS,39.843654,-75.399101,Spring 2025,5,18,0,7,1,8
-8378801.11032215,4860635.83951473,17025,Bus,123,Eastbound,18829,West Chester Pk & Elm Av,39.963474,-75.268051,Spring 2025,2,4,2,9,1,3
-8390121.4119799,4845912.48414889,17026,Bus,117,Southbound,31893,22nd St & Crozer St,39.862026,-75.369743,Spring 2025,12,3,3,3,4,4
-8378565.78091861,4860579.77718278,17027,Bus,123,Eastbound,18830,West Chester Pk & College Av,39.963088,-75.265937,Spring 2025,4,24,3,27,4,12
-8393659.59067527,4849276.02931033,17028,Bus,117,Southbound,31896,Middletown Rd & Moore Dr - FS,39.885215,-75.401527,Spring 2025,0,0,0,0,0,0
-8392153.77192331,4878678.64974923,17029,Bus,123,Eastbound,19101,Mall Blvd & Court Blvd - FS,40.087589,-75.388,Spring 2025,56,0,69,0,54,0
-8383002.53054366,4861658.6695396,17030,Bus,123,Eastbound,30480,West Chester Pk & Westwood Park - 2 FS,39.970516,-75.305793,Spring 2025,1,0,0,0,0,1
-8391304.51552805,4843354.14303635,17031,Bus,117,Southbound,32305,9th St & Carlas Ln,39.844383,-75.380371,Spring 2025,2,10,1,11,1,6
-8392721.94660432,4879004.43876341,17032,Bus,123,Westbound,1827,Plaza at King of Prussia,40.089828,-75.393104,Spring 2025,2,144,0,184,0,117
-8389077.56911473,4844242.95536028,17033,Bus,117,Southbound,32464,Welsh St & Wall St,39.850513,-75.360366,Spring 2025,4,45,5,25,3,21
-8379716.60181443,4860892.91695553,17034,Bus,123,Westbound,1968,West Chester Pk & Carol Blvd,39.965244,-75.276275,Spring 2025,3,4,3,2,2,1
-8397254.65363044,4853420.92302479,17035,Bus,117,Southbound,32521,Riddle Hospital,39.91378,-75.433822,Spring 2025,60,1,59,2,33,0
-8384583.15599344,4862060.30655975,17036,Bus,123,Westbound,1983,West Chester Pk & Eagle Rd - FS,39.973281,-75.319992,Spring 2025,6,6,0,10,3,7
-8397781.19482189,4853239.21669376,17037,Bus,117,Southbound,32522,Baltimore Pk & Pennell Rd - FS,39.912528,-75.438552,Spring 2025,14,0,8,1,5,1
-8389944.74794801,4846172.95183526,17038,Bus,118,Northbound,2146,Edgmont Av & 22nd St,39.863822,-75.368156,Spring 2025,9,2,2,2,0,0
-8391038.68458403,4850434.36512082,17039,Bus,118,Northbound,2163,Brookhaven Rd & Rose Valley Rd,39.893199,-75.377983,Spring 2025,1,0,0,0,0,0
-8377750.47696804,4860540.56278638,17040,Bus,123,Westbound,2024,69th St Transit Center North Terminal,39.962818,-75.258613,Spring 2025,176,0,232,0,154,0
